Name,Link,State,Party,Position
"Pallone Jr., Frank",https://twitter.com/FrankPallone,NJ,D,rep
"Palmer, Gary",https://twitter.com/USRepGaryPalmer,AL,R,rep
"Panetta, Jimmy",https://twitter.com/RepJimmyPanetta,CA,D,rep
"Pappas, Chris",https://twitter.com/RepChrisPappas,NH,D,rep
"Pascrell Jr., Bill",https://twitter.com/BillPascrell,NJ,D,rep
"Payne Jr., Donald",https://twitter.com/RepDonaldPayne,NJ,D,rep
"Pelosi, Nancy",https://twitter.com/SpeakerPelosi,CA,D,rep
"Pence, Greg",https://twitter.com/RepGregPence,IN,R,rep
"Perlmutter, Ed",https://twitter.com/RepPerlmutter,CO,D,rep
"Perry, Scott",https://twitter.com/RepScottPerry,PA,R,rep
"Peters, Scott",https://twitter.com/RepScottPeters,CA,D,rep
"Pfluger, August",https://twitter.com/RepPfluger,TX,R,rep
"Phillips, Dean",https://twitter.com/RepDeanPhillips,MN,D,rep
"Pingree, Chellie",https://twitter.com/chelliepingree,ME,D,rep
"Plaskett, Stacey",https://twitter.com/StaceyPlaskett,VI,D,rep
"Pocan, Mark",https://twitter.com/repmarkpocan,WI,D,rep
"Porter, Katie",https://twitter.com/RepKatiePorter,CA,D,rep
"Posey, Bill",https://twitter.com/congbillposey,FL,R,rep
"Pressley, Ayanna",https://twitter.com/RepPressley,MA,D,rep
"Price, David",https://twitter.com/RepDavidEPrice,NC,D,rep
"Quigley, Mike",https://twitter.com/RepMikeQuigley,IL,D,rep
"Radewagen, Amata",https://twitter.com/RepAmata,AS,R,rep
"Raskin, Jamie",https://twitter.com/RepRaskin,MD,D,rep
"Reed, Tom",https://twitter.com/RepTomReed,NY,R,rep
"Reschenthaler, Guy",https://twitter.com/GReschenthaler,PA,R,rep
"Rice, Kathleen",https://twitter.com/RepKathleenRice,NY,D,rep
"Rice, Tom",https://twitter.com/RepTomRice,SC,R,rep
"Rodgers, Cathy McMorris",https://twitter.com/cathymcmorris,WA,R,rep
"Rogers, Harold",https://twitter.com/RepHalRogers,KY,R,rep
"Rogers, Mike",https://twitter.com/RepMikeRogersAL,AL,R,rep
"Rose, John W.",https://twitter.com/RepJohnRose,TN,R,rep
"Rosendale, Matthew M.",https://twitter.com/RepRosendale,MT,R,rep
"Ross, Deborah K.",https://twitter.com/RepDeborahRoss,NC,D,rep
"Rouzer, David",https://twitter.com/RepDavidRouzer,NC,R,rep
"Roy, Chip",https://twitter.com/RepChipRoy,TX,R,rep
"Roybal-Allard, Lucille",https://twitter.com/RepRoybalAllard,CA,D,rep
"Ruiz, Raul",https://twitter.com/RepRaulRuizMD,CA,D,rep
"Ruppersberger, C. A. Dutch",https://twitter.com/Call_Me_Dutch,MD,D,rep
"Rush, Bobby L.",https://twitter.com/RepBobbyRush,IL,D,rep
"Rutherford, John",https://twitter.com/RepRutherfordFL,FL,R,rep
"Ryan, Tim",https://twitter.com/RepTimRyan,OH,D,rep
"Sablan, Gregorio",https://twitter.com/Kilili_Sablan,MP,D,rep
"Salazar, Maria Elvira",https://twitter.com/RepMariaSalazar,FL,R,rep
"San Nicolas, Michael F. Q.",https://twitter.com/GuamCongressman,GU,D,rep
"Sánchez, Linda",https://twitter.com/RepLindaSanchez,CA,D,rep
"Sarbanes, John P.",https://twitter.com/RepSarbanes,MD,D,rep
"Scalise, Steve",https://twitter.com/SteveScalise,LA,R,rep
"Scanlon, Mary Gay",https://twitter.com/RepMGS,PA,D,rep
"Schakowsky, Jan",https://twitter.com/janschakowsky,IL,D,rep
"Schiff, Adam",https://twitter.com/RepAdamSchiff,CA,D,rep
"Schneider, Bradley",https://twitter.com/RepSchneider,IL,D,rep
"Schrader, Kurt",https://twitter.com/RepSchrader,OR,D,rep
"Schrier, Kim",https://twitter.com/RepKimSchrier,WA,D,rep
"Schweikert, David",https://twitter.com/RepDavid,AZ,R,rep
"Scott, Austin",https://twitter.com/AustinScottGA08,GA,R,rep
"Scott, David",https://twitter.com/repdavidscott,GA,D,rep
"Scott, Robert C.",https://twitter.com/BobbyScott,VA,D,rep
"Sessions, Pete",https://twitter.com/PeteSessions,TX,R,rep
"Sewell, Terri A.",https://twitter.com/RepTerriSewell,AL,D,rep
"Sherman, Brad",https://twitter.com/BradSherman,CA,D,rep
"Sherrill, Mikie",https://twitter.com/RepSherrill,NJ,D,rep
"Simpson, Mike",https://twitter.com/CongMikeSimpson,ID,R,rep
"Sires, Albio",https://twitter.com/RepSires,NJ,D,rep
"Slotkin, Elissa",https://twitter.com/RepSlotkin,MI,D,rep
"Smith, Adam",https://twitter.com/RepAdamSmith,WA,D,rep
"Smith, Adrian",https://twitter.com/RepAdrianSmith,NE,R,rep
"Smith, Chris",,NJ,R,rep
"Smith, Jason",https://twitter.com/RepJasonSmith,MO,R,rep
"Smucker, Lloyd",https://twitter.com/RepSmucker,PA,R,rep
"Soto, Darren",https://twitter.com/RepDarrenSoto,FL,D,rep
"Spanberger, Abigail",https://twitter.com/RepSpanberger,VA,D,rep
"Spartz, Victoria",https://twitter.com/RepSpartz,IN,R,rep
"Speier, Jackie",https://twitter.com/RepSpeier,CA,D,rep
"Stanton, Greg",https://twitter.com/RepGregStanton,AZ,D,rep
"Stauber, Pete",https://twitter.com/RepPeteStauber,MN,R,rep
"Steel, Michelle",https://twitter.com/RepSteel,CA,R,rep
"Stefanik, Elise",https://twitter.com/RepStefanik,NY,R,rep
"Steil, Bryan",https://twitter.com/RepBryanSteil,WI,R,rep
"Steube, W. Gregory",https://twitter.com/RepGregSteube,FL,R,rep
"Stevens, Haley",https://twitter.com/RepHaleyStevens,MI,D,rep
"Stewart, Chris",https://twitter.com/RepChrisStewart,UT,R,rep
"Stivers, Steve",https://twitter.com/RepSteveStivers,OH,R,rep
"Strickland, Marilyn",https://twitter.com/RepStricklandWA,WA,D,rep
"Suozzi, Thomas",https://twitter.com/RepTomSuozzi,NY,D,rep
"Swalwell, Eric",https://twitter.com/RepSwalwell,CA,D,rep
"Takano, Mark",https://twitter.com/RepMarkTakano,CA,D,rep
"Taylor, Van",https://twitter.com/RepVanTaylor,TX,R,rep
"Thompson, Bernie G.",https://twitter.com/BennieGThompson,MS,D,rep
"Thompson, Glenn",https://twitter.com/CongressmanGT,PA,R,rep
"Thompson, Mike",https://twitter.com/RepThompson,CA,D,rep
"Tiffany, Thomas P.",https://twitter.com/RepTiffany,WI,R,rep
"Timmons, William",https://twitter.com/RepTimmons,SC,R,rep
"Titus, Dina",https://twitter.com/repdinatitus,NV,D,rep
"Tlaib, Rashida",https://twitter.com/RepRashida,MI,D,rep
"Tonko, Paul D.",https://twitter.com/RepPaulTonko,NY,D,rep
"Torres, Norma",https://twitter.com/NormaJTorres,CA,D,rep
"Torres, Ritchie",https://twitter.com/RepRitchie,NY,D,rep
"Trahan, Lori",https://twitter.com/RepLoriTrahan,MA,D,rep
"Trone, David",https://twitter.com/RepDavidTrone,MD,D,rep
"Turner, Mike",https://twitter.com/RepMikeTurner,OH,R,rep
"Underwood, Lauren",https://twitter.com/RepUnderwood,IL,D,rep
"Upton, Fred",https://twitter.com/RepFredUpton,MI,R,rep
"Valadao, David G.",https://twitter.com/RepDavidValadao,CA,R,rep
"Van Drew, Jefferson",,NJ,R,rep
"Van Duyne, Beth",https://twitter.com/RepBethVanDuyne,TX,R,rep
"Vargas, Juan",https://twitter.com/RepJuanVargas,CA,D,rep
"Veasey, Marc",https://twitter.com/RepVeasey,TX,R,rep
"Vela, Filemon",https://twitter.com/RepFilemonVela,TX,D,rep
"Velázquez, Nydia M.",https://twitter.com/NydiaVelazquez,NY,D,rep
"Wagner, Ann",https://twitter.com/RepAnnWagner,MO,R,rep
"Walberg, Tim",https://twitter.com/RepWalberg,MI,R,rep
"Walorski, Jackie",https://twitter.com/RepWalorski,IN,R,rep
"Waltz, Michael",https://twitter.com/michaelgwaltz,FL,R,rep
"Wasserman Schultz, Debbie",https://twitter.com/RepDWStweets,FL,R,rep
"Waters, Maxine",https://twitter.com/RepMaxineWaters,CA,D,rep
"Watson Coleman, Bonnie",https://twitter.com/RepBonnie,NJ,D,rep
"Weber, Randy",https://twitter.com/TXRandy14,TX,R,rep
"Webster, Daniel",https://twitter.com/RepWebster,FL,R,rep
"Welch, Peter",https://twitter.com/PeterWelch,VT,D,rep
"Wenstrup, Brad",https://twitter.com/RepBradWenstrup,OH,R,rep
"Westerman, Bruce",https://twitter.com/RepWesterman,AR,R,rep
"Wexton, Jennifer",https://twitter.com/RepWexton,VA,D,rep
"Wild, Susan",https://twitter.com/RepSusanWild,PA,D,rep
"Williams, Nikema",https://twitter.com/RepNikema,GA,D,rep
"Williams, Roger",https://twitter.com/RepRWilliams,TX,R,rep
"Wilson, Frederica",https://twitter.com/RepWilson,FL,D,rep
"Wilson, Joe",https://twitter.com/RepJoeWilson,SC,R,rep
"Wittman, Robert J.",https://twitter.com/RobWittman,VA,R,rep
"Womack, Steve",https://twitter.com/rep_stevewomack,AR,R,rep
"Wright, Ron",https://twitter.com/RepRonWright,TX,R,rep
"Yarmuth, John A.",https://twitter.com/RepJohnYarmuth,KY,D,rep
"Young, Don",https://twitter.com/repdonyoung,AK,R,rep
"Zeldin, Lee",https://twitter.com/RepLeeZeldin,NY,R,rep
