first_name,last_name,party,state,twitter_handle,position
Richard,Shelby,R,AL,SenShelby,sen
Olympia,Snowe,R,ME,SenatorSnowe,sen
Arlen,Specter,R,PA,SenArlenSpecter,sen
Arlen,Specter,D,PA,SenArlenSpecter,sen
Debbie,Stabenow,D,MI,SenStabenow,sen
Jon,Tester,D,MT,SenatorTester,sen
John,Thune,R,SD,SenJohnThune,sen
Mark,Udall,D,CO,MarkUdall,sen
Tom,Udall,D,NM,SenatorTomUdall,sen
David,Vitter,R,LA,,sen
George,Voinovich,R,OH,,sen
Mark,Warner,D,VA,MarkWarner,sen
Jim,Webb,D,VA,,sen
Sheldon,Whitehouse,D,RI,SenWhitehouse,sen
Roger,Wicker,R,MS,SenatorWicker,sen
Ron,Wyden,D,OR,RonWyden,sen
Neil,Abercrombie,D,HI,neilabercrombie,rep
Gary,Ackerman,D,NY,repgaryackerman,rep
Robert,Aderholt,R,AL,Robert_Aderholt,rep
John,Adler,D,NJ,,rep
Todd,Akin,R,MO,reptoddakin,rep
Rodney,Alexander,R,LA,USRepAlexander,rep
Jason,Altmire,D,PA,RepJasonAltmire,rep
Robert,Andrews,D,NJ,RepAndrews,rep
Michael,Arcuri,D,NY,,rep
Steve,Austria,R,OH,SteveAustria,rep
Joe,Baca,D,CA,,rep
Michele,Bachmann,R,MN,MicheleBachmann,rep
Spencer,Bachus,R,AL,BachusAL06,rep
Brian,Baird,D,WA,,rep
Tammy,Baldwin,D,WI,SenatorBaldwin,rep
J.,Barrett,R,SC,greshambarrett,rep
John,Barrow,D,GA,RepJohnBarrow,rep
Roscoe,Bartlett,R,MD,,rep
Joe,Barton,R,TX,RepJoeBarton,rep
Melissa,Bean,D,IL,,rep
Xavier,Becerra,D,CA,RepBecerra,rep
Shelley,Berkley,D,NV,repberkley,rep
Howard,Berman,D,CA,RepHowardBerman,rep
Marion,Berry,D,AR,,rep
Judy,Biggert,R,IL,JudyBiggert,rep
Brian,Bilbray,R,CA,BilbrayCA50,rep
Gus,Bilirakis,R,FL,RepGusBilirakis,rep
Rob,Bishop,R,UT,RepRobBishop,rep
Sanford,Bishop,D,GA,SanfordBishop,rep
Timothy,Bishop,D,NY,TimBishopNY,rep
Marsha,Blackburn,R,TN,MarshaBlackburn,rep
Earl,Blumenauer,D,OR,BlumenauerMedia,rep
Roy,Blunt,R,MO,RoyBlunt,rep
John,Boccieri,D,OH,,rep
John,Boehner,R,OH,SpeakerBoehner,rep
Jo,Bonner,R,AL,repjobonner,rep
Mary,Bono Mack,R,CA,Rep_BonoMack,rep
John,Boozman,R,AR,JohnBoozman,rep
Madeleine,Bordallo,D,GU,,rep
Dan,Boren,D,OK,,rep
Leonard,Boswell,D,IA,LeonardBoswell,rep
Rick,Boucher,D,VA,,rep
Charles,Boustany,R,LA,RepBoustany,rep
Allen,Boyd,D,FL,,rep
Kevin,Brady,R,TX,RepKevinBrady,rep
Robert,Brady,D,PA,RepBrady,rep
Bruce,Braley,D,IA,BruceBraley,rep
Bobby,Bright,D,AL,,rep
Paul,Broun,R,GA,RepPaulBrounMD,rep
Henry,Brown,R,SC,,rep
Corrine,Brown,D,FL,RepCorrineBrown,rep
Ginny,Brown-Waite,R,FL,,rep
Vern,Buchanan,R,FL,VernBuchanan,rep
Michael,Burgess,R,TX,MichaelCBurgess,rep
Dan,Burton,R,IN,RepDanBurton,rep
G.,Butterfield,D,NC,GKButterfield,rep
Steve,Buyer,R,IN,,rep
Ken,Calvert,R,CA,KenCalvert,rep
Dave,Camp,R,MI,RepDaveCamp,rep
John,Campbell,R,CA,RepJohnCampbell,rep
Eric,Cantor,R,VA,,rep
Anh,Cao,R,LA,AnhJosephCao,rep
Shelley,Capito,R,WV,SenCapito,rep
Lois,Capps,D,CA,RepLoisCapps,rep
Michael,Capuano,D,MA,RepMikeCapuano,rep
Dennis,Cardoza,D,CA,RepCardoza,rep
Russ,Carnahan,D,MO,RepCarnahan,rep
Christopher,Carney,D,PA,,rep
André,Carson,D,IN,RepAndreCarson,rep
John,Carter,R,TX,JudgeCarter,rep
Bill,Cassidy,R,LA,,rep
Michael,Castle,R,DE,repmikecastle,rep
Kathy,Castor,D,FL,USRepKCastor,rep
Jason,Chaffetz,R,UT,JasonInTheHouse,rep
Ben,Chandler,D,KY,,rep
Travis,Childers,D,MS,,rep
Donna,Christensen,D,VI,DelegateDonna,rep
Judy,Chu,D,CA,RepJudyChu,rep
Yvette,Clarke,D,NY,RepYvetteClarke,rep
William,Clay,D,MO,,rep
Emanuel,Cleaver,D,MO,RepCleaver,rep
James,Clyburn,D,SC,WhipClyburn,rep
Howard,Coble,R,NC,HowardCoble,rep
Mike,Coffman,R,CO,RepMikeCoffman,rep
Steve,Cohen,D,TN,RepCohen,rep
Tom,Cole,R,OK,TomColeOK04,rep
K.,Conaway,R,TX,ConawayTX11,rep
Gerald,Connolly,D,VA,GerryConnolly,rep
John,Conyers,D,MI,RepJohnConyers,rep
Jim,Cooper,D,TN,RepJimCooper,rep
Jim,Costa,D,CA,RepJimCosta,rep
Jerry,Costello,D,IL,jerrycostello,rep
Joe,Courtney,D,CT,RepJoeCourtney,rep
Ander,Crenshaw,R,FL,AnderCrenshaw,rep
Mark,Critz,D,PA,RepMarkCritz,rep
Joseph,Crowley,D,NY,RepJoeCrowley,rep
Henry,Cuellar,D,TX,RepCuellar,rep
John,Culberson,R,TX,CongCulberson,rep
Elijah,Cummings,D,MD,RepCummings,rep
Kathy,Dahlkemper,D,PA,,rep
Danny,Davis,D,IL,RepDannyDavis,rep
Susan,Davis,D,CA,RepSusanDavis,rep
Lincoln,Davis,D,TN,,rep
Artur,Davis,D,AL,ArturDavis,rep
Geoff,Davis,R,KY,RepGeoffDavis,rep
Nathan,Deal,R,GA,,rep
Peter,DeFazio,D,OR,RepPeterDeFazio,rep
Diana,DeGette,D,CO,RepDianaDeGette,rep
Bill,Delahunt,D,MA,,rep
Rosa,DeLauro,D,CT,RosaDeLauro,rep
Charlie,Dent,R,PA,RepCharlieDent,rep
Ted,Deutch,D,FL,RepTedDeutch,rep
Mario,Diaz-Balart,R,FL,MarioDB,rep
Lincoln,Diaz-Balart,R,FL,,rep
Norman,Dicks,D,WA,RepNormDicks,rep
John,Dingell,D,MI,John_Dingell,rep
Charles,Djou,R,HI,,rep
Lloyd,Doggett,D,TX,RepLloydDoggett,rep
Joe,Donnelly,D,IN,SenDonnelly,rep
Mike,Doyle,D,PA,USRepMikeDoyle,rep
David,Dreier,R,CA,,rep
Steve,Driehaus,D,OH,,rep
John,Duncan,R,TN,RepJohnDuncanJr,rep
Chet,Edwards,D,TX,,rep
Donna,Edwards,D,MD,RepDonnaEdwards,rep
Vernon,Ehlers,R,MI,,rep
Keith,Ellison,D,MN,keithellison,rep
Brad,Ellsworth,D,IN,,rep
Jo Ann,Emerson,R,MO,,rep
Eliot,Engel,D,NY,RepEliotEngel,rep
Anna,Eshoo,D,CA,RepAnnaEshoo,rep
Bob,Etheridge,D,NC,,rep
Eni,Faleomavaega,D,AS,EFaleomavaega,rep
Mary,Fallin,R,OK,RepMaryFallin,rep
Sam,Farr,D,CA,RepSamFarr,rep
Chaka,Fattah,D,PA,ChakaFattah,rep
Bob,Filner,D,CA,CongBobFilner,rep
Jeff,Flake,R,AZ,JeffFlake,rep
John,Fleming,R,LA,RepFleming,rep
J.,Forbes,R,VA,Randy_Forbes,rep
Jeff,Fortenberry,R,NE,JeffFortenberry,rep
Bill,Foster,D,IL,RepBillFoster,rep
Virginia,Foxx,R,NC,VirginiaFoxx,rep
Barney,Frank,D,MA,,rep
Trent,Franks,R,AZ,RepTrentFranks,rep
Rodney,Frelinghuysen,R,NJ,USRepRodney,rep
Marcia,Fudge,D,OH,RepMarciaFudge,rep
Elton,Gallegly,R,CA,eltongallegly24,rep
John,Garamendi,D,CA,RepGaramendi,rep
Scott,Garrett,R,NJ,RepGarrett,rep
Jim,Gerlach,R,PA,JimGerlach,rep
Gabrielle,Giffords,D,AZ,,rep
Kirsten,Gillibrand,D,NY,GillibrandNY,rep
Phil,Gingrey,R,GA,RepPhilGingrey,rep
Louie,Gohmert,R,TX,RepLouieGohmert,rep
Charlie,Gonzalez,D,TX,TX20CharlieG,rep
Robert,Goodlatte,R,VA,RepGoodlatte,rep
Bart,Gordon,D,TN,,rep
Kay,Granger,R,TX,RepKayGranger,rep
Sam,Graves,R,MO,RepSamGraves,rep
Tom,Graves,R,GA,RepTomGraves,rep
Alan,Grayson,D,FL,,rep
Al,Green,D,TX,RepAlGreen,rep
Gene,Green,D,TX,RepGeneGreen,rep
Parker,Griffith,D,AL,,rep
Parker,Griffith,R,AL,,rep
Raúl,Grijalva,D,AZ,RepraulGrijalva,rep
Brett,Guthrie,R,KY,RepGuthrie,rep
Luis,Gutiérrez,D,IL,RepGutierrez,rep
John,Hall,D,NY,,rep
Ralph,Hall,R,TX,RalphHallPress,rep
Debbie,Halvorson,D,IL,,rep
Phil,Hare,D,IL,,rep
Jane,Harman,D,CA,,rep
Gregg,Harper,R,MS,GreggHarper,rep
Alcee,Hastings,D,FL,RepHastingsFL,rep
